Entry, Organism
O09185, Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)
P79734, Danio rerio (Zebrafish) (Brachydanio rerio)
P41685, Felis catus (Cat) (Felis silvestris catus)
P04637, Homo sapiens (Human)
P67938, Bos indicus (Zebu)
Q29537, Canis lupus familiaris (Dog) (Canis familiaris)
Q9WUR6, Cavia porcellus (Guinea pig)
P61260, Macaca fuscata fuscata (Japanese macaque)
P02340, Mus musculus (Mouse)
Q9TUB2, Sus scrofa (Pig)
Q95330, Oryctolagus cuniculus (Rabbit)
P56424, Macaca mulatta (Rhesus macaque)
O36006, Marmota monax (Woodchuck)
P13481, Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)
Q8SPZ3, Delphinapterus leucas (Beluga whale)
P56423, Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
P67939, Bos taurus (Bovine)
P10361, Rattus norvegicus (Rat)
P51664, Ovis aries (Sheep)
Q9TTA1, Tupaia belangeri (Common tree shrew) (Tupaia glis belangeri)
Q00366, Mesocricetus auratus (Golden hamster)
P79892, Equus caballus (Horse)
Q64662, Spermophilus beecheyi (California ground squirrel) (Otospermophilus beecheyi)
Q29480, Equus asinus (Donkey) (Equus africanus asinus)
Q9ULZ0, Homo sapiens (Human)
Q96S44, Homo sapiens (Human)
Q9W678, Barbus barbus (Barbel) (Cyprinus barbus)
O12946, Platichthys flesus (European flounder) (Pleuronectes flesus)
O14683, Homo sapiens (Human)
Q9W679, Tetraodon miurus (Congo puffer)
P25035, Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
Q8NBR0, Homo sapiens (Human)
Q5F267, Mus musculus (Mouse)
B0BN44, Rattus norvegicus (Rat)
Q92143, Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus)
Q99PW4, Mus musculus (Mouse)
O93379, Ictalurus punctatus (Channel catfish) (Silurus punctatus)
Q0VCQ8, Bos taurus (Bovine)
B3DMA0, Rattus norvegicus (Rat)
Q9NS56, Homo sapiens (Human)
Q12888, Homo sapiens (Human)
P70399, Mus musculus (Mouse)
P10360, Gallus gallus (Chicken)
P79820, Oryzias latipes (Japanese rice fish) (Japanese killifish)
Q4QQM4, Mus musculus (Mouse)
Q5REI9, Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
P07193, Xenopus laevis (African clawed frog)
O57538, Xiphophorus helleri (Green swordtail)
Q53FA7, Homo sapiens (Human)
Q9Y2B4, Homo sapiens (Human)
Q96A56, Homo sapiens (Human)
Q8CFU8, Mus musculus (Mouse)
Q8IXH6, Homo sapiens (Human)
Q8CHM3, Rattus norvegicus (Rat)
Q9HCN2, Homo sapiens (Human)
A1A5B4, Homo sapiens (Human)
Q13625, Homo sapiens (Human)
Q8CG79, Mus musculus (Mouse)
