Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O09185	P53_CRIGR	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	TP53 P53	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	393
P79734	P53_DANRE	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	tp53 drp53	Danio rerio (Zebrafish) (Brachydanio rerio)	373
Q29480	P53_EQUAS	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53) (Fragment)	TP53	Equus asinus (Donkey) (Equus africanus asinus)	207
P41685	P53_FELCA	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	TP53 TRP53	Felis catus (Cat) (Felis silvestris catus)	386
P04637	P53_HUMAN	reviewed	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	Homo sapiens (Human)	393
Q9W678	P53_BARBU	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	tp53 p53	Barbus barbus (Barbel) (Cyprinus barbus)	369
P67938	P53_BOSIN	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	TP53	Bos indicus (Zebu)	386
Q29537	P53_CANLF	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	TP53 P53	Canis lupus familiaris (Dog) (Canis familiaris)	381
Q9WUR6	P53_CAVPO	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	TP53	Cavia porcellus (Guinea pig)	391
O12946	P53_PLAFE	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	tp53 p53	Platichthys flesus (European flounder) (Pleuronectes flesus)	366
O14683	P5I11_HUMAN	reviewed	Tumor protein p53-inducible protein 11 (p53-induced gene 11 protein)	TP53I11 PIG11	Homo sapiens (Human)	189
Q64662	P53_SPEBE	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53) (Fragment)	TP53	Spermophilus beecheyi (California ground squirrel) (Otospermophilus beecheyi)	314
Q9W679	P53_TETMU	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	tp53 p53	Tetraodon miurus (Congo puffer)	367
P79892	P53_HORSE	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53) (Fragment)	TP53 P53	Equus caballus (Horse)	280
P61260	P53_MACFU	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	TP53 P53	Macaca fuscata fuscata (Japanese macaque)	393
P02340	P53_MOUSE	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	Tp53 P53 Trp53	Mus musculus (Mouse)	390
P25035	P53_ONCMY	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	tp53 p53	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	396
Q9TUB2	P53_PIG	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	TP53 P53	Sus scrofa (Pig)	386
Q95330	P53_RABIT	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	TP53	Oryctolagus cuniculus (Rabbit)	391
Q8NBR0	P5I13_HUMAN	reviewed	Tumor protein p53-inducible protein 13 (Damage-stimulated cytoplasmic protein 1)	TP53I13 DSCP1	Homo sapiens (Human)	393
Q5F267	P5I13_MOUSE	reviewed	Tumor protein p53-inducible protein 13	Tp53i13 Trp53i13	Mus musculus (Mouse)	385
B0BN44	P5I13_RAT	reviewed	Tumor protein p53-inducible protein 13	Tp53i13 Trp53i13	Rattus norvegicus (Rat)	388
Q92143	P53_XIPMA	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	tp53 p53	Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus)	342
Q96S44	PRPK_HUMAN	reviewed	EKC/KEOPS complex subunit TP53RK (EC 3.6.-.-) (Atypical serine/threonine protein kinase TP53RK) (Nori-2) (TP53-regulating kinase) (EC 2.7.11.1) (p53-related protein kinase)	TP53RK C20orf64 PRPK	Homo sapiens (Human)	253
Q99PW4	PRPK_MOUSE	reviewed	EKC/KEOPS complex subunit Tp53rk (EC 3.6.-.-) (Atypical serine/threonine protein kinase Tp53rk) (Nori-2) (TP53-regulating kinase) (EC 2.7.11.1) (p53-related protein kinase)	Tp53rk Prpk Trp53rk	Mus musculus (Mouse)	244
O93379	P53_ICTPU	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	tp53 p53	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	376
P56424	P53_MACMU	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	TP53 P53	Macaca mulatta (Rhesus macaque)	393
O36006	P53_MARMO	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	TP53	Marmota monax (Woodchuck)	391
Q00366	P53_MESAU	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	TP53	Mesocricetus auratus (Golden hamster)	396
P13481	P53_CHLAE	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	TP53	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)	393
Q0VCQ8	P5I11_BOVIN	reviewed	Tumor protein p53-inducible protein 11 (p53-induced gene 11 protein)	TP53I11 PIG11	Bos taurus (Bovine)	189
